timestamp,open_price,high_price,low_price,closing_price,volume
2025-08-28T04:00:00,574.11,578.0,572.46,577.08,46787857.0
2025-08-27T04:00:00,571.59,574.405,570.37,573.49,36927144.0
2025-08-26T04:00:00,569.83,572.92,568.8,572.61,34103014.0
2025-08-25T04:00:00,570.4,573.2871,569.16,570.32,34044749.0
2025-08-22T04:00:00,564.67,573.99,563.27,571.97,51502129.0
2025-08-21T04:00:00,564.35,566.49,560.98,563.28,46436899.0
2025-08-20T04:00:00,568.33,568.45,558.84,565.9,76781087.0
2025-08-19T04:00:00,576.39,576.56,568.25,569.28,53752635.0
2025-08-18T04:00:00,576.44,577.765,575.2412,577.11,29830957.0
2025-08-15T04:00:00,579.8,579.84,575.5743,577.34,49480161.0
2025-08-14T04:00:00,578.28,581.88,577.91,579.89,45425043.0
2025-08-13T04:00:00,582.76,583.3199,578.94,580.34,41209294.0
2025-08-12T04:00:00,575.16,580.35,572.485,580.05,42271441.0
2025-08-11T04:00:00,574.69,576.8,571.57,572.85,33112917.0
2025-08-08T04:00:00,570.45,574.77,570.15,574.55,35255472.0
2025-08-07T04:00:00,571.67,573.32,565.11,569.24,44462972.0
2025-08-06T04:00:00,561.11,567.76,560.63,567.32,41823677.0
2025-08-05T04:00:00,565.39,566.5607,559.73,560.27,48666640.0
2025-08-04T04:00:00,559.05,564.315,558.95,564.1,47669751.0
2025-08-01T04:00:00,558.83,559.02,551.68,553.88,69400789.0
2025-07-31T04:00:00,574.54,574.63,563.87,565.01,64613590.0
2025-07-30T04:00:00,568.18,570.62,565.05,568.02,43433777.0
2025-07-29T04:00:00,570.76,572.11,566.53,567.26,45463317.0
2025-07-28T04:00:00,567.74,569.04,566.87,568.14,31498739.0
2025-07-25T04:00:00,564.93,567.695,564.27,566.37,30630813.0
2025-07-24T04:00:00,565.13,566.24,563.295,565.01,42275541.0
2025-07-23T04:00:00,562.34,563.85,559.58,563.81,40215259.0
2025-07-22T04:00:00,564.3,564.35,558.61,561.25,43270647.0
2025-07-21T04:00:00,562.09,566.06,562.06,564.17,39595214.0
2025-07-18T04:00:00,563.12,564.7262,559.98,561.26,50484704.0
2025-07-17T04:00:00,558.02,562.31,557.21,561.8,40423778.0
2025-07-16T04:00:00,557.28,560.21,551.56,557.29,52314711.0
2025-07-15T04:00:00,560.25,560.8,556.66,556.72,43277661.0
2025-07-14T04:00:00,553.99,556.945,551.63,556.21,36453314.0
2025-07-11T04:00:00,553.3,555.79,552.05,554.2,39618635.0
2025-07-10T04:00:00,556.89,557.3,552.75,555.45,34710913.0
2025-07-09T04:00:00,554.48,557.63,553.1,556.25,43045534.0
2025-07-08T04:00:00,553.38,554.01,551.1,552.34,36153258.0
2025-07-07T04:00:00,553.52,554.34,549.58,552.03,45349323.0
2025-07-03T04:00:00,553.18,557.2,553.18,556.22,26443524.0
2025-07-02T04:00:00,546.16,551.0,546.12,550.8,36538281.0
2025-07-01T04:00:00,549.73,550.71,544.66,546.99,56166736.0
2025-06-30T04:00:00,551.26,552.8,549.01,551.64,45548742.0
2025-06-27T04:00:00,547.26,549.99,544.545,548.09,57577147.0
2025-06-26T04:00:00,543.35,546.67,541.52,546.22,43811432.0
2025-06-25T04:00:00,542.06,543.31,539.38,541.16,44804168.0
2025-06-24T04:00:00,536.89,540.7,536.27,539.78,45441982.0
2025-06-23T04:00:00,526.81,532.17,523.65,531.65,50666146.0
2025-06-20T04:00:00,532.26,533.56,524.88,526.83,61643519.0
2025-06-18T04:00:00,530.1,532.55,527.4,528.99,43983522.0
2025-06-17T04:00:00,531.71,533.325,527.91,529.08,42180866.0
2025-06-16T04:00:00,530.5,535.37,530.45,534.29,37622051.0
2025-06-13T04:00:00,527.68,531.87,525.73,526.96,55814443.0
2025-06-12T04:00:00,531.09,534.6438,530.84,533.66,34104887.0
2025-06-11T04:00:00,535.62,536.78,530.11,532.41,53701033.0
2025-06-10T04:00:00,531.17,534.9,528.89,534.21,40664795.0
2025-06-09T04:00:00,530.14,532.35,529.01,530.7,33688671.0
2025-06-06T04:00:00,530.0,531.8,528.21,529.92,42467021.0
2025-06-05T04:00:00,530.18,533.05,522.66,524.79,61286623.0
2025-06-04T04:00:00,528.01,529.84,525.9694,528.77,41359322.0
2025-06-03T04:00:00,523.56,528.74,522.69,527.3,44070330.0
2025-06-02T04:00:00,517.24,523.45,515.97,523.21,44762817.0
2025-05-30T04:00:00,519.44,520.68,511.93,519.11,67662836.0
2025-05-29T04:00:00,526.33,526.48,517.32,519.93,58724069.0
2025-05-28T04:00:00,522.18,523.68,518.39,518.91,46637175.0
2025-05-27T04:00:00,516.15,521.71,514.59,521.22,47226323.0
2025-05-23T04:00:00,506.18,511.84,505.58,509.24,58368075.0
2025-05-22T04:00:00,513.66,517.71,512.3,514.0,55607169.0
2025-05-21T04:00:00,516.27,523.0,511.24,513.04,71292831.0
2025-05-20T04:00:00,519.47,520.93,516.66,520.27,42517561.0
2025-05-19T04:00:00,514.24,522.53,514.24,522.01,52536154.0
2025-05-16T04:00:00,520.66,521.7,517.1,521.51,48394603.0
2025-05-15T04:00:00,516.52,521.93,515.17,519.25,50153275.0
2025-05-14T04:00:00,516.77,519.2279,515.75,518.68,47014516.0
2025-05-13T04:00:00,509.16,517.39,508.42,515.59,53269573.0
2025-05-12T04:00:00,506.99,507.89,501.48,507.85,45090616.0
2025-05-09T04:00:00,490.21,491.54,486.195,487.97,27767416.0
2025-05-08T04:00:00,488.53,492.7,484.17,488.29,39577592.0
2025-05-07T04:00:00,482.08,485.8,476.782,483.3,38109864.0
2025-05-06T04:00:00,479.56,485.05,478.19,481.41,32786310.0
2025-05-05T04:00:00,484.6,489.03,484.1,485.93,28309490.0
